name;price;url;page
Диван прямой Сторм Land Grey;64 990;https://www.divan.ru/product/divan-storm-land-grey;6
Банкетка Вайли Velvet Terra;10 990;https://www.divan.ru/product/banketka-vajli-velvet-terra;6
Диван прямой Картос Velvet Beige;59 990;https://www.divan.ru/product/divan-kartos-velvet-beige;6
Диван модульный Этен 1 Vertical Silver;115 950;https://www.divan.ru/product/modulnyj-divan-eten-1-vertical-silver;6
Диван угловой Эдвин-2 Velvet Grey;109 990;https://www.divan.ru/product/divan-uglovoj-edvin-2-velvet-grey;6
Диван прямой Спейс-2 Velvet Terra;89 990;https://www.divan.ru/product/divan-spejs-2-velvet-terra;6
Диван угловой Вильен мини Velvet Olive;62 990;https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-olive;6
Диван угловой Мисл-1 Barhat Wet Sand;109 990;https://www.divan.ru/product/divan-uglovoj-misl-1-barhat-wet-sand;6
Кресло Пайпел Bucle Forest;26 990;https://www.divan.ru/product/kreslo-pajpel-bucle-forest;6
Диван прямой Пайпел-3 Bucle Blue;63 990;https://www.divan.ru/product/divan-pajpel-3-bucle-blue;6
Диван прямой Рейли Velvet Coral;36 990;https://www.divan.ru/product/divan-rejli-velvet-coral;6
Диван прямой Мисл Barhat Rose;76 990;https://www.divan.ru/product/divan-misl-barhat-rose;6
Диван прямой Сторм Land Forest;64 990;https://www.divan.ru/product/divan-storm-land-forest;6
Банкетка Кото Bucle Galaxy;21 990;https://www.divan.ru/product/banketka-koto-bucle-galaxy;6
Диван угловой Эдвин-2 Velvet Terra;109 990;https://www.divan.ru/product/divan-uglovoj-edvin-2-velvet-terra;6
Диван модульный Этен 3 Vertical Mix;140 940;https://www.divan.ru/product/modulnyj-divan-eten-3-vertical-mix-old-08-06-2022-jeans;6
Кресло Пайпел-2 Bucle White;40 990;https://www.divan.ru/product/kreslo-pajpel-2-bucle-white;6
Диван прямой Спейс-2 Velvet Olive;89 990;https://www.divan.ru/product/divan-spejs-2-velvet-olive;6
Диван угловой Эдвин-2 Velvet Stone;109 990;https://www.divan.ru/product/divan-uglovoj-edvin-2-velvet-stone;6
Диван модульный Этен Vertical Beige;81 960;https://www.divan.ru/product/modulnyj-divan-eten-vertical-beige;6
Диван угловой Мейлон Velvet Beige;56 990;https://www.divan.ru/product/divan-uglovoj-mejlon-velvet-beige;6
Диван модульный Этен 1 Vertical Pink;115 950;https://www.divan.ru/product/modulnyj-divan-eten-1-vertical-pink;6
Диван прямой Леймарк мини Barhat Smoke;48 990;https://www.divan.ru/product/divan-lejmark-mini-barhat-smoke;6
Диван прямой Сторм Land Latte;64 990;https://www.divan.ru/product/divan-storm-land-latte;6
Кресло Маркфул Velvet Emerald;25 990;https://www.divan.ru/product/kreslo-markful-velvet-emerald;6
Банкетка Ситено Barhat Wet Sand;11 990;https://www.divan.ru/product/banketka-siteno-barhat-wet-sand;6
Кресло Мерни Velvet Beige;16 990;https://www.divan.ru/product/kreslo-merni-velvet-beige;6
Диван модульный Риббл-2 Bucle Grafit;131 980;https://www.divan.ru/product/modulnyj-divan-ribbl-2-bucle-grafit;6
Пуф Дзен-2 Velvet Mint;11 990;https://www.divan.ru/product/puf-dzen-2-velvet-mint;6
Диван модульный Этен 1 Vertical Mix;115 950;https://www.divan.ru/product/modulnyj-divan-eten-1-vertical-mix;6
Диван модульный Нолан-B 1 Soft Milk;81 980;https://www.divan.ru/product/modulnyj-divan-nolan-b-1-soft-milk;6
Диван прямой Роттердам-3 Velvet Silver;33 990;https://www.divan.ru/product/divan-rotterdam-3-velvet-silver;6
Кресло Кинси Land Marsala;47 990;https://www.divan.ru/product/kreslo-kinsi-land-marsala;6
Диван прямой Кела Мини Velvet Ginger;42 990;https://www.divan.ru/product/divan-kela-mini-velvet-ginger;6
Диван угловой Эдвин-2 Velvet Light;109 990;https://www.divan.ru/product/divan-uglovoj-edvin-2-velvet-light;7
Диван угловой Ситено Barhat Emerald;69 990;https://www.divan.ru/product/divan-uglovoj-siteno-barhat-emerald;7
Диван угловой Шера Velvet Blue;109 990;https://www.divan.ru/product/divan-uglovoj-shera-velvet-blue;7
Диван угловой Виллес Velvet Olive;58 990;https://www.divan.ru/product/divan-uglovoj-villes-velvet-olive;7
Кресло Волси Velvet Grey;22 990;https://www.divan.ru/product/kreslo-volsi-velvet-grey;7
Диван прямой Слипсон Мини Linia Stone;46 990;https://www.divan.ru/product/divan-slipson-mini-linia-stone;7
Диван прямой Картос Velvet Stone;59 990;https://www.divan.ru/product/divan-kartos-velvet-stone;7
Кресло Мерни Velvet Yellow;16 990;https://www.divan.ru/product/kreslo-merni-velvet-yellow;7
Диван модульный Сэндж 3 Textile Yellow;92 960;https://www.divan.ru/product/modulnyj-divan-sendj-3-textile-yellow;7
